Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
روج‌آن,@rozhankhh,2024-07-19T22:16:59.000Z,False,تصمیم گرفتم دوستپسر خیالی داشته باشم چون یک مرد فقط تو خیالات میتونه درست رفتار کنه,5,3,88,9.1K,[],[],[],https://pbs.twimg.com/profile_images/1814423338552643584/vM5hziCu_normal.jpg,https://x.com/rozhankhh/status/1814424221319418357,tweet_id:1814424221319418357
رویا,@Rooyagrow,2024-07-20T11:42:27.000Z,False,"اعتبار و ابهت یک مرد به خانواده ایه که تشکیل میده!
هرچه اعضای خانواده بیشتر، خانواده گسترده تر، ابهت و جنم و انرژی مردانه و افتخار بیشتراین مرد در چشم من خیلی باابهت تره تا مرد یا زنی که مجرده، یا فقط یک بچه دارن...",60,23,504,26K,[],[],['\\U0001f44d'],https://pbs.twimg.com/profile_images/1751326407198728192/VsjW_tQF_normal.jpg,https://x.com/Rooyagrow/status/1814626924829753771,tweet_id:1814626924829753771
رضیرو,@itsrzO_,2024-07-21T06:42:28.000Z,False,تب دنگی رد فلگه. تب رو فقط باید مرد حساب کنه.,1,0,6,36,[],[],[],https://pbs.twimg.com/profile_images/1803909624409600000/yevTrMQ6_normal.jpg,https://x.com/itsrzO_/status/1814913819652550911,tweet_id:1814913819652550911
Sina,@thelittlesina,2024-07-17T13:09:33.000Z,False,"توییتی بسیار زیبا و آموزنده از امین آقا، مهندس سازه‌ی مملکت. فقط یه‌چیزی، یک مرد واقعی قبل از همه‌ی این چیزا املای انگلیسیش رو تقویت می‌کنه.
Desinger :)))))))))  https://x.com/amin_keshavarz/amin_keshavarz7/status/1813234438509060363…",2,1,13,547,[],[],[],https://pbs.twimg.com/profile_images/1791501635065188352/IyrkVYVv_normal.jpg,https://x.com/thelittlesina/status/1813561680422662434,tweet_id:1813561680422662434
zeeshan baloch,@Zeeshan_baloch9,2024-07-15T22:11:06.000Z,False,مرد فقط مرد فارس ورژن‌داخلی و خارجی,11,3,90,3.9K,[],[],['\\U0001f438'],https://pbs.twimg.com/profile_images/1788849986014199809/6xwaQiWL_normal.jpg,https://x.com/Zeeshan_baloch9/status/1812973188797899117,tweet_id:1812973188797899117
jadi,@jadi,2019-09-10T15:17:57.000Z,False,"در ماجرای #دختر_آبی ، ادم واقعا نمی دونه چی بگه. یک نفر فقط چون زن است، باید برای چیزی که دوست داره خودکشی کنه. اگر مرد بود، هر هفته با دوستاش می رفت فوتبال می دید و شاید اصلا درک هم نمی کرد چنین ممنوعیتی چقدر دردناکه.

اگر ما هم درد رو می فهمیم، نباید پامون رو چنین جایی بذاریم",21,93,1.8K,0,['#دختر_آبی'],[],[],https://pbs.twimg.com/profile_images/1363747799586775040/7OyUMSbS_normal.jpg,https://x.com/jadi/status/1171442694054219778,tweet_id:1171442694054219778
ستوان دوم,@Yesmilad,2022-05-07T21:30:24.000Z,False,"تو دنیا سه تا چیز بدون قید و شرط دوست داشته میشن
بچه ها،سگها و زنها
هیچ کس هیچ مردی رو به‌صرف مرد بودنش دوست ندارهفقط یه ویژگی میتونه مردو دوست داشتنی کنه؛تامین کننده بودن",0,0,1,0,[],[],['\\u2714'],https://pbs.twimg.com/profile_images/1813145311277187072/y79o897a_normal.jpg,https://x.com/Yesmilad/status/1523052656788643840,tweet_id:1523052656788643840
M,@hajjmatinn,2022-05-06T09:25:23.000Z,False,یک مرد فقط وقتی دوست داشته میشه که بتونه شرایطی رو فراهم کنه…,0,0,10,0,[],[],[],https://pbs.twimg.com/profile_images/1695853588721946624/lNSf6b28_normal.jpg,https://x.com/hajjmatinn/status/1522507809946017793,tweet_id:1522507809946017793
ye mamad ferferi !,@A98Mohammd,2022-05-06T22:34:12.000Z,False,"فقط زنان و بچه ها و سگ هاهستن که بدون قید و شرط دوست داشته میشن ولی یه مرد تنها در شرایطی دوست داشته میشه که چیزیو فراهم کنه.

نظرتون؟!",5,1,22,0,[],[],[],https://pbs.twimg.com/profile_images/1786794118426857473/sDvwPTyu_normal.jpg,https://x.com/A98Mohammd/status/1522706322462060544,tweet_id:1522706322462060544
لولی وش مغموم,@ParishDokht,2022-05-07T07:56:24.000Z,False,"چرا انقد قوانین فقط برای زنا وضع میشه؟
ممنوعیت سقط جنین ؟
حجاب اجباری؟
اجبار به یک فرزند در کشور های پرجمعیت 
این همه کنترل روی بدن زن برای چیه ؟ 
بعد شما میگین مرد سالاری نداریم :))))",4,1,29,0,[],[],[],https://pbs.twimg.com/profile_images/1796587581129252865/5WkYwGMF_normal.jpg,https://x.com/ParishDokht/status/1522847803206246401,tweet_id:1522847803206246401
 سارای‌استنلى‌,@Stanley0hSarah,2019-09-10T08:12:25.000Z,False,حتی در تحسینمون هم «زن» بودن هیچ انگاشته میشه. باید فقط «مرد» بود!#دخترآبی,6,13,127,0,['#دخترآبی'],[],[],https://pbs.twimg.com/profile_images/1241779942796468224/QulhQTmD_normal.jpg,https://x.com/Stanley0hSarah/status/1171335607005659136,tweet_id:1171335607005659136
Father,@stranger22i,2019-09-05T18:15:05.000Z,False,"چه حرف بی ربطیست که مرد گریه نمی کند
گاهی آنقدر بغض داری که فقط باید مرد باشی تا بتوانی گریه کنی…",0,0,3,0,[],[],[],https://pbs.twimg.com/profile_images/1472144760735469568/NajyY4o2_normal.jpg,https://x.com/stranger22i/status/1169675330845646850,tweet_id:1169675330845646850
Jᴜɴᴋᴇʀ𝟞𝟡 ☫,@69Junker69,2019-08-29T04:00:43.000Z,False,"فقط یه احمق دم از حقوق برابر زن و مرد میزنه
باید قانون بر اساس تفاوت‌های بسیار زیادی که بین زن و مرد وجود داره در شرایطی از زنها حمایت کنه و در برخی امور از مردها#عدالت_برابری_نیست",1,6,27,0,['#عدالت_برابری_نیست'],[],[],https://pbs.twimg.com/profile_images/1752533295730970624/cFMEB9Mw_normal.jpg,https://x.com/69Junker69/status/1166923607500570630,tweet_id:1166923607500570630
رنسانس دوم,@secondrenaissa1,2019-08-22T15:35:47.000Z,False,بازی #والیبال_زنان  ایران یک چیز رو برایم ثابت کرد که زنان این سرزمین را هیچ چیز نمی‌تواند محدود کند سالیان سال از ادوار خیلی دور زن رو فقط موجودی ضعیف ترسیم کردند در یک جامعه مرد سالار مذهب زده تلاش کردند و به نقطه امروز رسیدند باز پیشرفت خواهند کرد و زن ایرانی نمونه خواهد بود,2,3,60,0,['#والیبال_زنان'],[],[],https://pbs.twimg.com/profile_images/1242837384489771008/P9MhUKjq_normal.jpg,https://x.com/secondrenaissa1/status/1164561812999811072,tweet_id:1164561812999811072
ژانتولوژی,@zhanetyi,2019-08-23T10:22:47.000Z,False,و البته تنها ملتی هستیم که از برابری حقوق زن و مرد همین رو فقط داریم,1,0,7,0,[],[],[],https://pbs.twimg.com/profile_images/1813829478818148352/-W60SwO7_normal.jpg,https://x.com/zhanetyi/status/1164845433832792064,tweet_id:1164845433832792064
کوتلاس,@CuttlasCuttlas,2019-08-14T10:40:31.000Z,False,من سعی نکردم مرد موفقی بشم، فقط تمام تلاشم کردم ارزشمند باشم,0,0,13,0,[],[],[],https://pbs.twimg.com/profile_images/1746191800623058944/CCqdoxJl_normal.jpg,https://x.com/CuttlasCuttlas/status/1161588405379182594,tweet_id:1161588405379182594
